nom,total,libres,occupation_pct,heure,jour_semaine,minute
Parc Relais Gare De Bruges ,57,47,17.54,13,1,27
Parc Relais Floirac Dravemont,52,52,0.0,13,1,27
Floirac Arena,962,949,1.35,13,1,27
Parc Relais Le Haillan Rostand,204,137,32.84,13,1,27
Parc Relais La Gardette Sud,151,107,29.14,13,1,27
Parc Relais Lauriers,149,66,55.7,13,1,27
Parc Relais Buttiniere,600,0,100.0,13,1,27
Aeroport P0 Confort,341,0,100.0,13,1,27
Aeroport Pr Express,108,0,100.0,13,1,27
Parc Relais Arlac,393,385,2.04,13,1,27
Parc Relais Quatre Chemins,396,219,44.7,13,1,27
Aeroport P4 Longue Duree,3427,0,100.0,13,1,27
Aeroport P2 Flexi,3377,0,100.0,13,1,27
Aeroport P1 Proxi,375,0,100.0,13,1,27
Pessac Centre,400,257,35.75,13,1,27
Parc Relais Bougnard,168,168,0.0,13,1,27
Parc Relais Unitec,218,0,100.0,13,1,27
Parc Relais Gare De Pessac Alouette,148,96,35.14,13,1,27
Parc Relais Arts Et Metiers,590,593,-0.51,13,1,27
Talence 7e Art,321,0,100.0,13,1,27
Parc Relais Cap Metiers,146,132,9.59,13,1,27
Ars - Belcier,225,131,41.78,13,1,27
Bordeaux Bastide,158,0,100.0,13,1,27
Parc Relais Les Pins,220,197,10.45,13,1,27
Parc Relais Villenave Pyrenees,399,161,59.65,13,1,27
Gare Blanquefort,151,0,100.0,13,1,27
Cite Mondiale,842,219,73.99,13,1,27
Gare Saint Jean,267,10,96.25,13,1,27
Porte De Bordeaux,344,91,73.55,13,1,27
Megarama,526,0,100.0,13,1,27
Allees De Chartres,415,39,90.6,13,1,27
Parc Relais Stalingrad,120,0,100.0,13,1,27
Parc Relais Galin,279,0,100.0,13,1,27
Bergonie,69,41,40.58,13,1,27
Beaujon,92,13,85.87,13,1,27
Paludate - Saint Jean,566,130,77.03,13,1,27
Parc Relais Les Aubiers,234,232,0.85,13,1,27
Croix De Seguey,51,0,100.0,13,1,27
Lhote,111,0,100.0,13,1,27
Alsace Lorraine,122,0,100.0,13,1,27
Gare Saint Jean Arret Minute P2 Sud,105,75,28.57,13,1,27
Les Bassins,274,133,51.46,13,1,27
Pey Berland - Saint Christoly,399,93,76.69,13,1,27
Bassins A Flots,250,138,44.8,13,1,27
Brienne,300,169,43.67,13,1,27
Gare Saint Jean Arret Minute P1 Nord,46,46,0.0,13,1,27
Merignac Centre,285,205,28.07,13,1,27
P3 Belcier Arret Minute - Gare Saint Jean,103,0,100.0,13,1,27
Amedee St Germain,639,249,61.03,13,1,27
"Parc Relais Caroline Aigle, Merignac",103,103,0.0,13,1,27
Parking Brazza Yespark,444,0,100.0,13,1,27
Belvedere,400,348,13.0,13,1,27
Parc Relais Lycee Sud Medoc,117,0,100.0,13,1,27
Saint Jean Armagnac,496,0,100.0,13,1,27
Amplitude,396,144,63.64,13,1,27
Parc Relais Brandenburg,211,0,100.0,13,1,29
Bord'Eau Village,540,259,52.04,13,1,29
Clemenceau,379,215,43.27,13,1,29
Meunier - Saint Jean,323,117,63.78,13,1,29
Bonnac,163,0,100.0,13,1,29
Bastide Niel,248,0,100.0,13,1,29
P4 Belcier -  Gare Saint Jean,600,0,100.0,13,1,29
Grand Parc,341,128,62.46,13,1,29
Parc Relais Quarante Journaux,200,184,8.0,13,1,29
Gare Parempuyre,151,0,100.0,13,1,29
Parc Relais Cantinolle,620,532,14.19,13,1,29
Parc Relais De L'Hippodrome,250,61,75.6,13,1,29
Centre Commercant Ginko,930,818,12.04,13,1,29
Parc Relais La Gardette Nord,242,64,73.55,13,1,29
Parc Relais Gare De Begles,193,193,0.0,13,1,29
Begles Les Secheries,400,233,41.75,13,1,29
Parc Relais Gare De Blanquefort,206,6,97.09,13,1,29
Victor Hugo,634,254,59.94,13,1,29
Victoire,466,238,48.93,13,1,29
Tourny,950,205,78.42,13,1,29
Front Du Medoc,70,70,0.0,13,1,29
Centre Commercial Meriadeck,1230,762,38.05,13,1,29
Huit Mai 45,399,98,75.44,13,1,29
Gambetta,438,49,88.81,13,1,29
Capucins,270,0,100.0,13,1,29
Camille Jullian,338,196,42.01,13,1,29
Republique,361,112,68.98,13,1,29
Grands Hommes,415,153,63.13,13,1,29
Bourse - Jaures,1300,761,41.46,13,1,29
Salinieres,400,100,75.0,13,1,29
Chu Groupe Hospitalier Pellegrin,2376,0,100.0,13,1,29
Leroy,137,0,100.0,13,1,29
Rue De Begles,63,0,100.0,13,1,29
P3 Belcier - Gare Saint Jean,767,0,100.0,13,1,29
Parc Relais Ravezies Le Bouscat,366,44,87.98,13,1,29
Liberation,137,34,75.18,13,1,29
Laharpe,80,10,87.5,13,1,29
Parc Relais Gare De Bruges ,57,47,17.54,13,1,29
Parc Relais Floirac Dravemont,52,52,0.0,13,1,29
Floirac Arena,962,949,1.35,13,1,29
Parc Relais Le Haillan Rostand,204,137,32.84,13,1,29
Parc Relais La Gardette Sud,151,106,29.8,13,1,29
Parc Relais Lauriers,149,66,55.7,13,1,29
Parc Relais Buttiniere,600,0,100.0,13,1,29
Aeroport P0 Confort,341,0,100.0,13,1,29
Aeroport Pr Express,108,0,100.0,13,1,29
Parc Relais Arlac,393,385,2.04,13,1,29
Parc Relais Quatre Chemins,396,219,44.7,13,1,29
Aeroport P4 Longue Duree,3427,0,100.0,13,1,29
Aeroport P2 Flexi,3377,0,100.0,13,1,29
Aeroport P1 Proxi,375,0,100.0,13,1,29
Pessac Centre,400,257,35.75,13,1,29
Parc Relais Bougnard,168,168,0.0,13,1,29
Parc Relais Unitec,218,0,100.0,13,1,29
Parc Relais Gare De Pessac Alouette,148,96,35.14,13,1,29
Parc Relais Arts Et Metiers,590,593,-0.51,13,1,29
Talence 7e Art,321,0,100.0,13,1,29
Parc Relais Cap Metiers,146,132,9.59,13,1,29
Ars - Belcier,225,131,41.78,13,1,29
Bordeaux Bastide,158,0,100.0,13,1,29
Parc Relais Les Pins,220,197,10.45,13,1,29
Parc Relais Villenave Pyrenees,399,160,59.9,13,1,29
Gare Blanquefort,151,0,100.0,13,1,29
Cite Mondiale,842,219,73.99,13,1,29
Gare Saint Jean,267,10,96.25,13,1,29
Porte De Bordeaux,344,91,73.55,13,1,29
Megarama,526,0,100.0,13,1,29
Allees De Chartres,415,36,91.33,13,1,29
Parc Relais Stalingrad,120,0,100.0,13,1,29
Parc Relais Galin,279,0,100.0,13,1,29
Bergonie,69,41,40.58,13,1,29
Beaujon,92,13,85.87,13,1,29
Paludate - Saint Jean,566,129,77.21,13,1,29
Parc Relais Les Aubiers,234,232,0.85,13,1,29
Croix De Seguey,51,0,100.0,13,1,29
Lhote,111,0,100.0,13,1,29
Alsace Lorraine,122,0,100.0,13,1,29
Gare Saint Jean Arret Minute P2 Sud,105,75,28.57,13,1,29
Les Bassins,274,132,51.82,13,1,29
Pey Berland - Saint Christoly,399,89,77.69,13,1,29
Bassins A Flots,250,138,44.8,13,1,29
Brienne,300,169,43.67,13,1,29
Gare Saint Jean Arret Minute P1 Nord,46,46,0.0,13,1,29
Merignac Centre,285,205,28.07,13,1,29
P3 Belcier Arret Minute - Gare Saint Jean,103,0,100.0,13,1,29
Amedee St Germain,639,248,61.19,13,1,29
"Parc Relais Caroline Aigle, Merignac",103,103,0.0,13,1,29
Parking Brazza Yespark,444,0,100.0,13,1,29
Belvedere,400,348,13.0,13,1,29
Parc Relais Lycee Sud Medoc,117,0,100.0,13,1,29
Saint Jean Armagnac,496,0,100.0,13,1,29
Amplitude,396,145,63.38,13,1,29
Parc Relais Brandenburg,211,0,100.0,13,1,31
Bord'Eau Village,540,258,52.22,13,1,31
Clemenceau,379,214,43.54,13,1,31
Meunier - Saint Jean,323,117,63.78,13,1,31
Bonnac,163,0,100.0,13,1,31
Bastide Niel,248,0,100.0,13,1,31
P4 Belcier -  Gare Saint Jean,600,0,100.0,13,1,31
Grand Parc,341,128,62.46,13,1,31
Parc Relais Quarante Journaux,200,184,8.0,13,1,31
Gare Parempuyre,151,0,100.0,13,1,31
Parc Relais Cantinolle,620,532,14.19,13,1,31
Parc Relais De L'Hippodrome,250,61,75.6,13,1,31
Centre Commercant Ginko,930,819,11.94,13,1,31
Parc Relais La Gardette Nord,242,64,73.55,13,1,31
Parc Relais Gare De Begles,193,193,0.0,13,1,31
Begles Les Secheries,400,294,26.5,13,1,31
Parc Relais Gare De Blanquefort,206,6,97.09,13,1,31
Victor Hugo,634,254,59.94,13,1,31
Victoire,466,238,48.93,13,1,31
Tourny,950,205,78.42,13,1,31
Front Du Medoc,70,70,0.0,13,1,31
Centre Commercial Meriadeck,1230,762,38.05,13,1,31
Huit Mai 45,399,97,75.69,13,1,31
Gambetta,438,50,88.58,13,1,31
Capucins,270,0,100.0,13,1,31
Camille Jullian,338,196,42.01,13,1,31
Republique,361,113,68.7,13,1,31
Grands Hommes,415,155,62.65,13,1,31
Bourse - Jaures,1300,758,41.69,13,1,31
Salinieres,400,100,75.0,13,1,31
Chu Groupe Hospitalier Pellegrin,2376,0,100.0,13,1,31
Leroy,137,0,100.0,13,1,31
Rue De Begles,63,0,100.0,13,1,31
P3 Belcier - Gare Saint Jean,767,0,100.0,13,1,31
Parc Relais Ravezies Le Bouscat,366,44,87.98,13,1,31
Liberation,137,34,75.18,13,1,31
Laharpe,80,10,87.5,13,1,31
Parc Relais Gare De Bruges ,57,47,17.54,13,1,31
Parc Relais Floirac Dravemont,52,52,0.0,13,1,31
Floirac Arena,962,948,1.46,13,1,31
Parc Relais Le Haillan Rostand,204,136,33.33,13,1,31
Parc Relais La Gardette Sud,151,106,29.8,13,1,31
Parc Relais Lauriers,149,66,55.7,13,1,31
Parc Relais Buttiniere,600,0,100.0,13,1,31
Aeroport P0 Confort,341,0,100.0,13,1,31
Aeroport Pr Express,108,0,100.0,13,1,31
Parc Relais Arlac,393,385,2.04,13,1,31
Parc Relais Quatre Chemins,396,219,44.7,13,1,31
Aeroport P4 Longue Duree,3427,0,100.0,13,1,31
Aeroport P2 Flexi,3377,0,100.0,13,1,31
Aeroport P1 Proxi,375,0,100.0,13,1,31
Pessac Centre,400,256,36.0,13,1,31
Parc Relais Bougnard,168,168,0.0,13,1,31
Parc Relais Unitec,218,0,100.0,13,1,31
Parc Relais Gare De Pessac Alouette,148,96,35.14,13,1,31
Parc Relais Arts Et Metiers,590,593,-0.51,13,1,31
Talence 7e Art,321,0,100.0,13,1,31
Parc Relais Cap Metiers,146,132,9.59,13,1,31
Ars - Belcier,225,131,41.78,13,1,31
Bordeaux Bastide,158,0,100.0,13,1,31
Parc Relais Les Pins,220,197,10.45,13,1,31
Parc Relais Villenave Pyrenees,399,160,59.9,13,1,31
Gare Blanquefort,151,0,100.0,13,1,31
Cite Mondiale,842,221,73.75,13,1,31
Gare Saint Jean,267,10,96.25,13,1,31
Porte De Bordeaux,344,91,73.55,13,1,31
Megarama,526,0,100.0,13,1,31
Allees De Chartres,415,34,91.81,13,1,31
Parc Relais Stalingrad,120,0,100.0,13,1,31
Parc Relais Galin,279,0,100.0,13,1,31
Bergonie,69,40,42.03,13,1,31
Beaujon,92,14,84.78,13,1,31
Paludate - Saint Jean,566,129,77.21,13,1,31
Parc Relais Les Aubiers,234,232,0.85,13,1,31
Croix De Seguey,51,0,100.0,13,1,31
Lhote,111,0,100.0,13,1,31
Alsace Lorraine,122,0,100.0,13,1,31
Gare Saint Jean Arret Minute P2 Sud,105,75,28.57,13,1,31
Les Bassins,274,132,51.82,13,1,31
Pey Berland - Saint Christoly,399,91,77.19,13,1,31
Bassins A Flots,250,139,44.4,13,1,31
Brienne,300,169,43.67,13,1,31
Gare Saint Jean Arret Minute P1 Nord,46,46,0.0,13,1,31
Merignac Centre,285,205,28.07,13,1,31
P3 Belcier Arret Minute - Gare Saint Jean,103,0,100.0,13,1,31
Amedee St Germain,639,246,61.5,13,1,31
"Parc Relais Caroline Aigle, Merignac",103,103,0.0,13,1,31
Parking Brazza Yespark,444,0,100.0,13,1,31
Belvedere,400,348,13.0,13,1,31
Parc Relais Lycee Sud Medoc,117,0,100.0,13,1,31
Saint Jean Armagnac,496,0,100.0,13,1,31
Amplitude,396,145,63.38,13,1,31
Parc Relais Brandenburg,211,0,100.0,13,1,33
Bord'Eau Village,540,258,52.22,13,1,33
Clemenceau,379,215,43.27,13,1,33
Meunier - Saint Jean,323,115,64.4,13,1,33
Bonnac,163,0,100.0,13,1,33
Bastide Niel,248,0,100.0,13,1,33
P4 Belcier -  Gare Saint Jean,600,0,100.0,13,1,33
Grand Parc,341,129,62.17,13,1,33
Parc Relais Quarante Journaux,200,184,8.0,13,1,33
Gare Parempuyre,151,0,100.0,13,1,33
Parc Relais Cantinolle,620,532,14.19,13,1,33
Parc Relais De L'Hippodrome,250,60,76.0,13,1,33
Centre Commercant Ginko,930,820,11.83,13,1,33
Parc Relais La Gardette Nord,242,63,73.97,13,1,33
Parc Relais Gare De Begles,193,193,0.0,13,1,33
Begles Les Secheries,300,294,2.0,13,1,33
Parc Relais Gare De Blanquefort,206,5,97.57,13,1,33
Victor Hugo,634,253,60.09,13,1,33
Victoire,466,237,49.14,13,1,33
Tourny,950,207,78.21,13,1,33
Front Du Medoc,70,70,0.0,13,1,33
Centre Commercial Meriadeck,1230,768,37.56,13,1,33
Huit Mai 45,399,94,76.44,13,1,33
Gambetta,438,50,88.58,13,1,33
Capucins,270,0,100.0,13,1,33
Camille Jullian,338,196,42.01,13,1,33
Republique,361,113,68.7,13,1,33
Grands Hommes,415,155,62.65,13,1,33
Bourse - Jaures,1300,755,41.92,13,1,33
Salinieres,400,100,75.0,13,1,33
Chu Groupe Hospitalier Pellegrin,2376,0,100.0,13,1,33
Leroy,137,0,100.0,13,1,33
Rue De Begles,63,0,100.0,13,1,33
P3 Belcier - Gare Saint Jean,767,0,100.0,13,1,33
Parc Relais Ravezies Le Bouscat,366,45,87.7,13,1,33
Liberation,137,34,75.18,13,1,33
Laharpe,80,10,87.5,13,1,33
Parc Relais Gare De Bruges ,57,47,17.54,13,1,33
Parc Relais Floirac Dravemont,52,52,0.0,13,1,33
Floirac Arena,962,947,1.56,13,1,33
Parc Relais Le Haillan Rostand,204,136,33.33,13,1,33
Parc Relais La Gardette Sud,151,106,29.8,13,1,33
Parc Relais Lauriers,149,65,56.38,13,1,33
Parc Relais Buttiniere,600,0,100.0,13,1,33
Aeroport P0 Confort,341,0,100.0,13,1,33
Aeroport Pr Express,108,0,100.0,13,1,33
Parc Relais Arlac,393,385,2.04,13,1,33
Parc Relais Quatre Chemins,396,218,44.95,13,1,33
Aeroport P4 Longue Duree,3427,0,100.0,13,1,33
Aeroport P2 Flexi,3377,0,100.0,13,1,33
Aeroport P1 Proxi,375,0,100.0,13,1,33
Pessac Centre,400,257,35.75,13,1,33
Parc Relais Bougnard,168,168,0.0,13,1,33
Parc Relais Unitec,218,0,100.0,13,1,33
Parc Relais Gare De Pessac Alouette,148,94,36.49,13,1,33
Parc Relais Arts Et Metiers,590,593,-0.51,13,1,33
Talence 7e Art,321,0,100.0,13,1,33
Parc Relais Cap Metiers,146,132,9.59,13,1,33
Ars - Belcier,225,131,41.78,13,1,33
Bordeaux Bastide,158,0,100.0,13,1,33
Parc Relais Les Pins,220,199,9.55,13,1,33
Parc Relais Villenave Pyrenees,399,159,60.15,13,1,33
Gare Blanquefort,151,0,100.0,13,1,33
Cite Mondiale,842,221,73.75,13,1,33
Gare Saint Jean,267,10,96.25,13,1,33
Porte De Bordeaux,344,91,73.55,13,1,33
Megarama,526,0,100.0,13,1,33
Allees De Chartres,415,32,92.29,13,1,33
Parc Relais Stalingrad,120,0,100.0,13,1,33
Parc Relais Galin,279,0,100.0,13,1,33
Bergonie,69,36,47.83,13,1,33
Beaujon,92,14,84.78,13,1,33
Paludate - Saint Jean,566,129,77.21,13,1,33
Parc Relais Les Aubiers,234,232,0.85,13,1,33
Croix De Seguey,51,0,100.0,13,1,33
Lhote,111,0,100.0,13,1,33
Alsace Lorraine,122,0,100.0,13,1,33
Gare Saint Jean Arret Minute P2 Sud,105,75,28.57,13,1,33
Les Bassins,274,132,51.82,13,1,33
Pey Berland - Saint Christoly,399,96,75.94,13,1,33
Bassins A Flots,250,139,44.4,13,1,33
Brienne,300,168,44.0,13,1,33
Gare Saint Jean Arret Minute P1 Nord,46,46,0.0,13,1,33
Merignac Centre,285,205,28.07,13,1,33
P3 Belcier Arret Minute - Gare Saint Jean,103,0,100.0,13,1,33
Amedee St Germain,639,247,61.35,13,1,33
"Parc Relais Caroline Aigle, Merignac",103,103,0.0,13,1,33
Parking Brazza Yespark,444,0,100.0,13,1,33
Belvedere,400,348,13.0,13,1,33
Parc Relais Lycee Sud Medoc,117,0,100.0,13,1,33
Saint Jean Armagnac,496,0,100.0,13,1,33
Amplitude,396,144,63.64,13,1,33
Parc Relais Brandenburg,211,0,100.0,13,1,35
Bord'Eau Village,540,258,52.22,13,1,35
Clemenceau,379,215,43.27,13,1,35
Meunier - Saint Jean,323,115,64.4,13,1,35
Bonnac,163,0,100.0,13,1,35
Bastide Niel,248,0,100.0,13,1,35
P4 Belcier -  Gare Saint Jean,600,0,100.0,13,1,35
Grand Parc,341,129,62.17,13,1,35
Parc Relais Quarante Journaux,200,184,8.0,13,1,35
Gare Parempuyre,151,0,100.0,13,1,35
Parc Relais Cantinolle,620,532,14.19,13,1,35
Parc Relais De L'Hippodrome,250,60,76.0,13,1,35
Centre Commercant Ginko,930,820,11.83,13,1,35
Parc Relais La Gardette Nord,242,63,73.97,13,1,35
Parc Relais Gare De Begles,193,193,0.0,13,1,35
Begles Les Secheries,300,294,2.0,13,1,35
Parc Relais Gare De Blanquefort,206,5,97.57,13,1,35
Victor Hugo,634,253,60.09,13,1,35
Victoire,466,237,49.14,13,1,35
Tourny,950,207,78.21,13,1,35
Front Du Medoc,70,70,0.0,13,1,35
Centre Commercial Meriadeck,1230,768,37.56,13,1,35
Huit Mai 45,399,94,76.44,13,1,35
Gambetta,438,50,88.58,13,1,35
Capucins,270,0,100.0,13,1,35
Camille Jullian,338,196,42.01,13,1,35
Republique,361,113,68.7,13,1,35
Grands Hommes,415,155,62.65,13,1,35
Bourse - Jaures,1300,755,41.92,13,1,35
Salinieres,400,100,75.0,13,1,35
Chu Groupe Hospitalier Pellegrin,2376,0,100.0,13,1,35
Leroy,137,0,100.0,13,1,35
Rue De Begles,63,0,100.0,13,1,35
P3 Belcier - Gare Saint Jean,767,0,100.0,13,1,35
Parc Relais Ravezies Le Bouscat,366,45,87.7,13,1,35
Liberation,137,34,75.18,13,1,35
Laharpe,80,10,87.5,13,1,35
Parc Relais Gare De Bruges ,57,47,17.54,13,1,35
Parc Relais Floirac Dravemont,52,52,0.0,13,1,35
Floirac Arena,962,947,1.56,13,1,35
Parc Relais Le Haillan Rostand,204,136,33.33,13,1,35
Parc Relais La Gardette Sud,151,106,29.8,13,1,35
Parc Relais Lauriers,149,65,56.38,13,1,35
Parc Relais Buttiniere,600,0,100.0,13,1,35
Aeroport P0 Confort,341,0,100.0,13,1,35
Aeroport Pr Express,108,0,100.0,13,1,35
Parc Relais Arlac,393,385,2.04,13,1,35
Parc Relais Quatre Chemins,396,218,44.95,13,1,35
Aeroport P4 Longue Duree,3427,0,100.0,13,1,35
Aeroport P2 Flexi,3377,0,100.0,13,1,35
Aeroport P1 Proxi,375,0,100.0,13,1,35
Pessac Centre,400,257,35.75,13,1,35
Parc Relais Bougnard,168,168,0.0,13,1,35
Parc Relais Unitec,218,0,100.0,13,1,35
Parc Relais Gare De Pessac Alouette,148,94,36.49,13,1,35
Parc Relais Arts Et Metiers,590,593,-0.51,13,1,35
Talence 7e Art,321,0,100.0,13,1,35
Parc Relais Cap Metiers,146,132,9.59,13,1,35
Ars - Belcier,225,131,41.78,13,1,35
Bordeaux Bastide,158,0,100.0,13,1,35
Parc Relais Les Pins,220,199,9.55,13,1,35
Parc Relais Villenave Pyrenees,399,159,60.15,13,1,35
Gare Blanquefort,151,0,100.0,13,1,35
Cite Mondiale,842,221,73.75,13,1,35
Gare Saint Jean,267,10,96.25,13,1,35
Porte De Bordeaux,344,91,73.55,13,1,35
Megarama,526,0,100.0,13,1,35
Allees De Chartres,415,32,92.29,13,1,35
Parc Relais Stalingrad,120,0,100.0,13,1,35
Parc Relais Galin,279,0,100.0,13,1,35
Bergonie,69,36,47.83,13,1,35
Beaujon,92,14,84.78,13,1,35
Paludate - Saint Jean,566,129,77.21,13,1,35
Parc Relais Les Aubiers,234,232,0.85,13,1,35
Croix De Seguey,51,0,100.0,13,1,35
Lhote,111,0,100.0,13,1,35
Alsace Lorraine,122,0,100.0,13,1,35
Gare Saint Jean Arret Minute P2 Sud,105,75,28.57,13,1,35
Les Bassins,274,132,51.82,13,1,35
Pey Berland - Saint Christoly,399,96,75.94,13,1,35
Bassins A Flots,250,139,44.4,13,1,35
Brienne,300,168,44.0,13,1,35
Gare Saint Jean Arret Minute P1 Nord,46,46,0.0,13,1,35
Merignac Centre,285,205,28.07,13,1,35
P3 Belcier Arret Minute - Gare Saint Jean,103,0,100.0,13,1,35
Amedee St Germain,639,247,61.35,13,1,35
"Parc Relais Caroline Aigle, Merignac",103,103,0.0,13,1,35
Parking Brazza Yespark,444,0,100.0,13,1,35
Belvedere,400,348,13.0,13,1,35
Parc Relais Lycee Sud Medoc,117,0,100.0,13,1,35
Saint Jean Armagnac,496,0,100.0,13,1,35
Amplitude,396,144,63.64,13,1,35
Parc Relais Brandenburg,211,1,99.53,13,1,36
Bord'Eau Village,540,259,52.04,13,1,36
Clemenceau,379,215,43.27,13,1,36
Meunier - Saint Jean,323,115,64.4,13,1,36
Bonnac,163,0,100.0,13,1,36
Bastide Niel,248,0,100.0,13,1,36
P4 Belcier -  Gare Saint Jean,600,0,100.0,13,1,36
Grand Parc,341,129,62.17,13,1,36
Parc Relais Quarante Journaux,200,184,8.0,13,1,36
Gare Parempuyre,151,0,100.0,13,1,36
Parc Relais Cantinolle,620,532,14.19,13,1,36
Parc Relais De L'Hippodrome,250,60,76.0,13,1,36
Centre Commercant Ginko,930,818,12.04,13,1,36
Parc Relais La Gardette Nord,242,63,73.97,13,1,36
Parc Relais Gare De Begles,193,193,0.0,13,1,36
Begles Les Secheries,400,233,41.75,13,1,36
Parc Relais Gare De Blanquefort,206,5,97.57,13,1,36
Victor Hugo,634,253,60.09,13,1,36
Victoire,466,236,49.36,13,1,36
Tourny,950,203,78.63,13,1,36
Front Du Medoc,70,70,0.0,13,1,36
Centre Commercial Meriadeck,1230,770,37.4,13,1,36
Huit Mai 45,399,95,76.19,13,1,36
Gambetta,438,49,88.81,13,1,36
Capucins,270,0,100.0,13,1,36
Camille Jullian,338,199,41.12,13,1,36
Republique,361,112,68.98,13,1,36
Grands Hommes,415,155,62.65,13,1,36
Bourse - Jaures,1300,755,41.92,13,1,36
Salinieres,400,100,75.0,13,1,36
Chu Groupe Hospitalier Pellegrin,2376,0,100.0,13,1,36
Leroy,137,0,100.0,13,1,36
Rue De Begles,63,0,100.0,13,1,36
P3 Belcier - Gare Saint Jean,767,0,100.0,13,1,36
Parc Relais Ravezies Le Bouscat,366,45,87.7,13,1,36
Liberation,137,34,75.18,13,1,36
Laharpe,80,10,87.5,13,1,36
Parc Relais Gare De Bruges ,57,47,17.54,13,1,36
Parc Relais Floirac Dravemont,52,52,0.0,13,1,36
Floirac Arena,962,947,1.56,13,1,36
Parc Relais Le Haillan Rostand,204,137,32.84,13,1,36
Parc Relais La Gardette Sud,151,107,29.14,13,1,36
Parc Relais Lauriers,149,65,56.38,13,1,36
Parc Relais Buttiniere,600,0,100.0,13,1,36
Aeroport P0 Confort,341,0,100.0,13,1,36
Aeroport Pr Express,108,0,100.0,13,1,36
Parc Relais Arlac,393,385,2.04,13,1,36
Parc Relais Quatre Chemins,396,218,44.95,13,1,36
Aeroport P4 Longue Duree,3427,0,100.0,13,1,36
Aeroport P2 Flexi,3377,0,100.0,13,1,36
Aeroport P1 Proxi,375,0,100.0,13,1,36
Pessac Centre,400,256,36.0,13,1,36
Parc Relais Bougnard,168,168,0.0,13,1,36
Parc Relais Unitec,218,0,100.0,13,1,36
Parc Relais Gare De Pessac Alouette,148,94,36.49,13,1,36
Parc Relais Arts Et Metiers,590,593,-0.51,13,1,36
Talence 7e Art,321,0,100.0,13,1,36
Parc Relais Cap Metiers,146,132,9.59,13,1,36
Ars - Belcier,225,130,42.22,13,1,36
Bordeaux Bastide,158,0,100.0,13,1,36
Parc Relais Les Pins,220,198,10.0,13,1,36
Parc Relais Villenave Pyrenees,399,158,60.4,13,1,36
Gare Blanquefort,151,0,100.0,13,1,36
Cite Mondiale,842,221,73.75,13,1,36
Gare Saint Jean,267,10,96.25,13,1,36
Porte De Bordeaux,344,90,73.84,13,1,36
Megarama,526,0,100.0,13,1,36
Allees De Chartres,415,32,92.29,13,1,36
Parc Relais Stalingrad,120,0,100.0,13,1,36
Parc Relais Galin,279,0,100.0,13,1,36
Bergonie,69,34,50.72,13,1,36
Beaujon,92,14,84.78,13,1,36
Paludate - Saint Jean,566,127,77.56,13,1,36
Parc Relais Les Aubiers,234,232,0.85,13,1,36
Croix De Seguey,51,0,100.0,13,1,36
Lhote,111,0,100.0,13,1,36
Alsace Lorraine,122,0,100.0,13,1,36
Gare Saint Jean Arret Minute P2 Sud,105,75,28.57,13,1,36
Les Bassins,274,133,51.46,13,1,36
Pey Berland - Saint Christoly,399,90,77.44,13,1,36
Bassins A Flots,250,139,44.4,13,1,36
Brienne,300,167,44.33,13,1,36
Gare Saint Jean Arret Minute P1 Nord,46,46,0.0,13,1,36
Merignac Centre,285,206,27.72,13,1,36
P3 Belcier Arret Minute - Gare Saint Jean,103,0,100.0,13,1,36
Amedee St Germain,639,247,61.35,13,1,36
"Parc Relais Caroline Aigle, Merignac",103,103,0.0,13,1,36
Parking Brazza Yespark,444,0,100.0,13,1,36
Belvedere,400,348,13.0,13,1,36
Parc Relais Lycee Sud Medoc,117,0,100.0,13,1,36
Saint Jean Armagnac,496,0,100.0,13,1,36
Amplitude,396,144,63.64,13,1,36
Parc Relais Brandenburg,211,1,99.53,13,1,38
Bord'Eau Village,540,259,52.04,13,1,38
Clemenceau,379,215,43.27,13,1,38
Meunier - Saint Jean,323,115,64.4,13,1,38
Bonnac,163,0,100.0,13,1,38
Bastide Niel,248,0,100.0,13,1,38
P4 Belcier -  Gare Saint Jean,600,0,100.0,13,1,38
Grand Parc,341,129,62.17,13,1,38
Parc Relais Quarante Journaux,200,184,8.0,13,1,38
Gare Parempuyre,151,0,100.0,13,1,38
Parc Relais Cantinolle,620,532,14.19,13,1,38
Parc Relais De L'Hippodrome,250,60,76.0,13,1,38
Centre Commercant Ginko,930,818,12.04,13,1,38
Parc Relais La Gardette Nord,242,63,73.97,13,1,38
Parc Relais Gare De Begles,193,193,0.0,13,1,38
Begles Les Secheries,400,233,41.75,13,1,38
Parc Relais Gare De Blanquefort,206,5,97.57,13,1,38
Victor Hugo,634,253,60.09,13,1,38
Victoire,466,236,49.36,13,1,38
Tourny,950,203,78.63,13,1,38
Front Du Medoc,70,70,0.0,13,1,38
Centre Commercial Meriadeck,1230,770,37.4,13,1,38
Huit Mai 45,399,95,76.19,13,1,38
Gambetta,438,49,88.81,13,1,38
Capucins,270,0,100.0,13,1,38
Camille Jullian,338,199,41.12,13,1,38
Republique,361,112,68.98,13,1,38
Grands Hommes,415,155,62.65,13,1,38
Bourse - Jaures,1300,755,41.92,13,1,38
Salinieres,400,100,75.0,13,1,38
Chu Groupe Hospitalier Pellegrin,2376,0,100.0,13,1,38
Leroy,137,0,100.0,13,1,38
Rue De Begles,63,0,100.0,13,1,38
P3 Belcier - Gare Saint Jean,767,0,100.0,13,1,38
